facility_id,lat,lon,geo_source
FA0013283,34.270840546263,-118.422717007508,census
FA0069722,33.98556834147,-118.425175907711,census
FA0262719,34.059533765295,-118.291699958624,census
FA0309070,33.978239270126,-118.407068977516,census
FA0017643,34.585610848292,-118.147519585189,census
FA0156631,33.88910486116,-118.150626860174,census
FA0324698,33.966391669842,-118.265070788766,census
FA0270337,33.924678798909,-118.021417904257,census
FA0296947,34.085213254496,-118.286916426663,census
FA0323364,34.419386693564,-118.544269696606,census
FA0274776,33.870702845834,-118.248601696509,census
FA0033779,34.053251400445,-118.203608931767,census
FA0063507,33.980576783081,-118.036216820995,census
FA0033776,33.992725944721,-118.395200098645,census
FA0159776,34.017435550792,-118.142922606276,census
FA0303744,34.063576442088,-118.307979506104,census
FA0261466,33.822396272344,-118.385326997915,census
FA0261467,33.822415058385,-118.385327978055,census
FA0138835,33.872952465558,-118.082909004847,census
FA0262799,34.287982537832,-118.434932061849,census
FA0053385,33.824253513593,-118.340286589936,census
FA0071131,34.689276774002,-118.166612157823,census
FA0241852,34.08224074767,-118.37653725534,census
FA0039077,34.101529505653,-118.332699195834,census
FA0043108,34.084657967152,-118.326671802582,census
FA0171423,34.139493823585,-117.978466754422,census
FA0020460,33.956965022382,-118.35211148379,census
FA0323355,34.17319032643,-118.46609951393,census
FA0045762,33.98992822511,-118.476229372601,census
FA0322023,34.034596444518,-118.294472900989,census
FA0006150,34.011575702169,-118.105678503108,census
FA0309046,34.249114501057,-118.579876553917,census
FA0322022,33.935298299099,-118.291880872933,census
FA0293068,34.675135238347,-118.147947242761,census
FA0006149,33.996669999657,-118.39657592012,census
FA0272106,33.988233696064,-117.903482402925,census
FA0294396,33.755561008111,-118.309561098516,census
FA0159764,34.058904907568,-118.17251360802,census
FA0137512,33.768273229894,-118.38027315579,census
FA0019481,34.051024029757,-118.037717308828,census
FA0171426,33.743655276397,-118.28780811869,census
FA0260125,33.990099600568,-117.914131777071,census
FA0044421,34.010257037242,-118.480561455361,census
FA0324677,33.965019760846,-118.107821274173,census
FA0248495,33.96885294281,-118.071472302518,census
FA0160746,33.872884467015,-118.377115154218,census
FA0052033,34.028349350238,-118.519118429841,census
FA0248469,34.035438052249,-118.253399399059,census
FA0159795,34.573626823053,-118.045067727138,census
FA0303721,33.915660396346,-118.011716820172,census
FA0137522,34.061749442477,-118.311291158275,census
FA0311348,34.446945255796,-118.552984400575,census
FA0311346,34.163662365579,-118.37380385617,census
FA0256095,33.962939559925,-118.165333569804,census
FA0311343,34.675425895369,-118.147810775559,census
FA0071158,34.130179478719,-118.026231950585,census
FA0039059,34.009038855028,-118.278283192015,census
FA0265802,34.203032746589,-118.413719496316,census
FA0039055,34.683477497631,-118.134282657347,census
FA0260114,34.203557598117,-118.536120047215,census
FA0322007,34.030105302379,-118.291606442289,census
FA0260112,34.000312450959,-118.291458116638,census
FA0322003,33.972575419698,-118.136522582706,census
FA0250792,34.203350119505,-118.536119531117,census
FA0325998,34.025405523162,-118.393089261847,census
FA0323336,34.042882085294,-117.848586664337,census
